0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"(37.4928093, 127.04138947)","(37.49312592, 127.14382172)","(37.49317932, 127.11854553)","(37.49319839, 127.1289978)","(37.49325943, 127.02953339)","(37.49334335, 127.14472961)","(37.49361801, 127.01418304)","(37.49372864, 127.12062073)","(37.49375916, 127.04589844)","(37.49440384, 126.89444733)","(37.52193069, 126.89161682)","(37.52848816, 126.89164734)","(37.52450562, 126.89182281)","(37.49851608, 126.89199066)","(37.53587341, 126.8921814)","(37.52809906, 126.89338684)","(37.49824142, 126.89398193)","(37.56908417, 126.89442444)","(37.53210068, 126.8944397)","(37.4937706, 126.99006653)",
"(37.49400711, 127.07951355)","(37.49411774, 127.06290436)","(37.49416733, 127.10453033)","(37.49421692, 127.01378632)","(37.49423599, 127.04746246)","(37.49449921, 127.063797)","(37.49469757, 127.10464478)","(37.49457169, 126.89974976)","(37.56624603, 126.8961792)","(37.52463531, 126.89621735)","(37.57566452, 126.89444733)","(37.57822037, 126.89447021)","(37.53845978, 126.89450836)","(37.49420547, 126.98935699)","(37.51615524, 126.89461517)","(37.58216095, 126.89492798)","(37.50793076, 126.89523315)","(37.49449921, 126.91652679)","(37.51933289, 126.89530182)","(37.51873779, 126.89557648)",
"(37.49482346, 127.04790497)","(37.49535751, 127.11569214)","(37.4955368, 127.10720062)","(37.49556351, 127.0191803)","(37.49565887, 127.15717316)","(37.49569321, 127.12385559)","(37.49567032, 127.13059235)","(37.55661011, 126.89801788)","(37.57361984, 126.8980484)","(37.51124191, 126.89818573)","(37.4947052, 126.98239136)","(37.56684494, 126.89644623)","(37.49474335, 126.98306274)","(37.52113342, 126.89653778)","(37.52826309, 126.89662933)","(37.49985886, 126.89723969)","(37.49550629, 126.95637512)","(37.57746887, 126.89736176)","(37.5315094, 126.89782715)","(37.49980927, 126.89800262)",
"(37.49611664, 127.06944275)","(37.49577332, 127.12458038)","(37.4958992, 127.05219269)","(37.49618149, 127.13803101)","(37.49619293, 127.02101135)","(37.49655151, 127.0542984)","(37.49667358, 127.05342865)","(37.49689484, 127.07013702)","(37.53073502, 126.89916992)","(37.50947571, 126.89929962)","(37.56396484, 126.89820862)","(37.53596115, 126.89830017)","(37.57711411, 126.89836121)","(37.50532913, 126.89848328)","(37.50611496, 126.89859009)","(37.49651337, 126.91480255)","(37.51385117, 126.89888)","(37.57072067, 126.89897919)","(37.4966011, 126.95368195)","(37.51707077, 126.899086)",
"(37.49691391, 127.02496338)","(37.49704742, 127.14035034)","(37.49721146, 127.00427246)","(37.49741364, 127.09630585)","(37.49751663, 127.15467834)","(37.49769974, 127.14620209)","(37.49805069, 127.04460144)","(37.4977951, 126.98706818)","(37.53368759, 126.90210724)","(37.56624603, 126.90218353)","(37.56842041, 126.89942932)","(37.57506943, 126.8999176)","(37.49707794, 126.91779327)","(37.53471756, 126.90000153)","(37.51202393, 126.90105438)","(37.50657272, 126.90113068)","(37.56590271, 126.90118408)","(37.49766922, 126.91986847)","(37.52029419, 126.90119171)","(37.57313538, 126.90184784)",
"(37.4986496, 127.05931854)","(37.49847031, 127.03011322)","(37.49892807, 127.02472687)","(37.49941254, 127.11286926)","(37.49959946, 127.03375244)","(37.49975586, 127.15250397)","(37.50380325, 126.90341949)","(37.5650444, 126.9036026)","(37.49982834, 126.91994476)","(37.53533936, 126.90367889)","(37.49845505, 126.99333954)","(37.51821136, 126.90222931)","(37.57720184, 126.90235138)","(37.55134201, 126.90267181)","(37.52638626, 126.90275574)","(37.49905014, 126.99625397)","(37.55156708, 126.90284729)","(37.57731628, 126.90296936)","(37.5258522, 126.90328217)","(37.49964523, 126.92709351)",
"(37.49987411, 127.14147949)","(37.49998474, 127.13539124)","(37.50004959, 127.11151123)","(37.50024414, 127.03605652)","(37.50043869, 127.06622314)","(37.56090927, 126.90549469)","(37.55568695, 126.9055481)","(37.50024796, 126.94972992)","(37.53007889, 126.90570831)","(37.52576828, 126.90573883)","(37.49985504, 126.92956543)","(37.52869034, 126.903862)","(37.56958389, 126.90381622)","(37.51012039, 126.90406799)","(37.51322937, 126.90446472)","(37.50007629, 126.92108154)","(37.52011871, 126.90516663)","(37.50013733, 126.91397858)","(37.52630234, 126.90538025)","(37.50017166, 126.91130829)",
"(37.50057983, 127.11884308)","(37.50065231, 127.01861572)","(37.50134277, 127.05046844)","(37.50149536, 127.14778137)","(37.50154495, 127.03856659)","(37.50165176, 127.12818146)","(37.50166702, 127.13774109)","(37.52917099, 126.90757751)","(37.5148735, 126.90758514)","(37.59883881, 126.90764618)","(37.55894852, 126.90775299)","(37.50046158, 126.90584564)","(37.59186172, 126.90608215)","(37.50061417, 126.98616028)","(37.57987595, 126.90634918)","(37.5006485, 126.90951538)","(37.5742836, 126.90646362)","(37.60232925, 126.90654755)","(37.5008812, 126.94174957)","(37.56472015, 126.9067688)","(37.52251816, 126.90721893)"
"(37.50186157, 127.11723328)","(37.50194931, 127.04277039)","(37.50221252, 127.06720734)","(37.5022316, 127.0022583)","(37.50231934, 127.0222702)","(37.50233841, 127.09644318)","(37.50239563, 127.05879974)","(37.50235748, 127.04319)","(37.57447815, 126.91004944)","(37.51093292, 126.91022491)","(37.5017128, 126.99547577)","(37.57300186, 126.90779877)","(37.52974319, 126.90782928)","(37.51665115, 126.9079895)","(37.50217819, 126.94820404)","(37.56333923, 126.90820312)","(37.58203125, 126.90899658)","(37.59714127, 126.9095993)","(37.57767487, 126.9098053)","(37.5843811, 126.90989685)",
"(37.50241089, 127.02160645)","(37.50259399, 127.1276474)","(37.50263596, 127.01231384)","(37.50264359, 127.09739685)","(37.50311279, 126.96471405)","(37.51482391, 126.91188049)","(37.50318146, 126.97608948)","(37.53365707, 126.91216278)","(37.50318909, 126.97714996)","(37.551754, 126.91230011)","(37.50456619, 126.91023254)","(37.59580994, 126.91026306)","(37.50253296, 126.94064331)","(37.5556488, 126.91062927)","(37.57889175, 126.91073608)","(37.55495071, 126.91083527)","(37.50274277, 126.92157745)","(37.5841713, 126.91110229)","(37.50296021, 126.99359894)","(37.57626343, 126.91132355)",
