id,rackTotCnt,stationLatitude,stationLongitude,distance_hanriver,distance_bikeroad,distance_subway,distance_school_mid,distance_school_high,distance_school_univ,PopTot
508,12,37.53,127.06,2029,2634,142,625,931,1058,29404
443,9,37.56,127,4980,4626,541,527,396,833,3059
509,22,37.53,127.06,1845,1997,628,48,163,1040,29404
514,9,37.53,127.06,1555,2999,574,550,1069,1149,29404
446,12,37.6,126.94,7411,4740,1743,980,1148,327,10551
449,12,37.6,127,9022,6151,3363,2572,495,1701,18816
450,22,37.6,127,7159,4921,871,635,426,1963,12981
451,15,37.6,127,7462,5012,930,679,636,1370,2997
563,12,37.56,127.06,2136,3185,696,1004,1275,1049,29404
567,17,37.53,127.06,1993,2571,89,568,884,1038,29404
585,11,37.53,127.06,1450,2181,865,397,570,1446,29404
587,12,37.53,127.06,2296,2274,316,405,522,636,29404
456,12,37.56,127,5232,1932,336,632,662,1235,16434
589,10,37.53,127.06,1973,2516,70,531,843,1018,29404
458,23,37.56,127,5881,5138,213,592,732,1460,12981
461,12,37.56,127,6259,4702,198,848,669,1361,9815
464,12,37.6,127,7621,4830,914,725,455,1176,2997
465,7,37.6,127,7386,4662,1242,329,489,919,2997
308,22,37.56,127,5859,4820,288,392,534,1170,8446
307,13,37.56,127,5790,4569,504,376,481,955,9815
468,10,37.56,127,5739,5628,241,704,748,1538,3059
3403,10,37.56,126.94,5553,4209,418,552,566,644,9815
1355,22,37.6,127,6810,1570,363,1023,507,435,17502
1338,17,37.6,127,6612,1381,164,384,398,542,17502
472,12,37.56,127,5225,5257,249,777,1187,1182,3567
1363,17,37.6,127,6266,1293,262,628,598,878,17502
1351,10,37.6,127,5802,1289,380,112,206,1280,17502
475,16,37.56,127,4519,4068,331,194,260,1451,20163
674,15,37.6,127.06,7097,292,346,756,785,387,17502
1308,20,37.6,127,6195,746,413,470,685,839,17502
1372,17,37.6,127.06,7148,423,209,766,661,377,17502
480,8,37.56,127,3084,2853,26,469,450,1009,20163
481,16,37.56,127,4415,3870,358,391,240,1673,20163
482,10,37.56,127,3619,3050,401,276,582,1608,20163
483,16,37.56,127,2508,2622,37,839,392,1297,20163
484,20,37.56,127,4316,5317,349,1292,907,321,5850
486,7,37.6,126.94,8546,5881,2883,1308,95,1226,18816
487,26,37.53,126.94,1935,3402,577,514,599,846,22441
489,10,37.6,126.9,1902,2155,1476,658,248,2404,32882
490,10,37.6,126.9,1979,1710,1034,334,350,2800,32882
491,10,37.56,126.9,1481,1736,883,345,682,3106,32882
492,10,37.56,126.9,2381,923,323,215,688,2013,61695
493,7,37.56,126.94,2603,1742,450,1200,1164,696,25997
494,5,37.56,126.94,2314,2912,266,146,225,580,23877
495,10,37.53,126.94,2066,3943,334,444,520,1191,22594
497,20,37.56,126.94,1084,2155,279,555,940,1175,19153
498,10,37.56,126.94,2423,676,875,621,320,1440,16953
500,12,37.56,127.06,2028,4077,104,1192,949,490,25537
501,32,37.53,127.06,898,3493,358,423,299,818,103524
502,29,37.53,127.06,323,3210,48,772,668,1471,103524
505,12,37.53,127.06,1455,4539,348,694,372,843,103524
506,9,37.56,127.06,2403,2877,519,1054,1113,1071,11428
231,12,37.53,126.9,1773,4530,453,648,842,1144,41065
275,12,37.53,126.9,2259,4516,314,285,265,1591,41065
3207,15,37.53,126.9,2047,4362,461,557,627,1213,41065
232,22,37.53,126.9,1899,4749,123,653,608,1517,41065
233,12,37.53,126.9,1437,4964,533,770,647,1422,41065
243,17,37.53,126.9,1568,4817,488,966,800,1336,41065
280,12,37.53,126.9,982,4782,723,380,189,1592,41065
228,12,37.53,126.9,748,4164,109,752,518,3070,41065
515,12,37.53,127.06,1435,3805,772,103,164,1690,103524
516,12,37.56,127.06,2121,3733,469,1069,1450,535,22109
518,22,37.56,127.06,5112,1383,381,660,906,1763,24035
519,22,37.56,127,4505,1647,289,1056,249,1704,27767
557,12,37.56,127,4512,3727,475,1245,168,2052,27767
241,12,37.5,126.9,3626,2324,748,858,680,1632,95641
242,17,37.5,126.94,2791,2942,576,609,492,1141,95641
445,10,37.56,127,4791,5000,383,743,664,688,3059
435,12,37.56,127,4420,5495,326,1135,757,451,5850
444,20,37.56,127,4483,4908,185,1012,493,728,5850
265,17,37.53,126.9,1935,4079,383,151,1205,612,57848
248,12,37.53,126.94,1095,4380,648,1305,1127,2202,34598
521,16,37.56,127.06,4037,1231,193,493,508,1006,41103
267,12,37.53,126.9,458,4245,402,379,399,1871,41065
523,13,37.53,127,1865,1820,375,281,541,2018,27222
229,22,37.53,126.9,974,4517,272,683,320,3386,41065
525,22,37.56,127.06,4069,1005,458,734,617,441,41103
526,12,37.56,127.06,3947,752,532,1300,1283,819,13290
529,17,37.56,127.06,3590,1400,25,858,1884,1286,13290
568,12,37.56,127,4874,1991,552,835,610,1733,27767
227,12,37.53,126.9,458,3953,467,891,889,3358,41065
258,16,37.53,126.94,2079,3752,373,236,272,1004,51979
535,18,37.56,127.06,3225,2193,520,426,336,1118,16188
536,10,37.56,127,3450,2560,26,252,379,1424,41103
537,12,37.56,127.06,4218,766,392,290,192,451,41103
538,17,37.56,127.06,4536,427,145,791,1005,975,13290
539,12,37.56,127.06,3416,2347,553,818,1384,876,86682
540,10,37.56,127.06,3088,2841,146,1020,1032,643,22109
542,21,37.53,127.1,1324,3382,44,577,905,1809,81059
543,20,37.53,127.1,1355,3393,94,776,853,1799,81059
544,22,37.53,127.1,1619,3113,510,135,141,1076,36083
546,10,37.53,127.06,1472,4785,529,223,335,1398,103524
